"","site","date","spacing_m","temp_avg","sal_avg","dist_from_bags","reclaimed","absent","consumed"
"317","mera",20200829,1,29.1,32.5,0,15,0,"0"
"318","mera",20200829,1,29.1,32.5,0,15,0,"0"
"319","mera",20200829,1,29.1,32.5,0,15,0,"0"
"320","mera",20200829,1,29.1,32.5,0,15,0,"0"
"321","mera",20200829,1,29.1,32.5,0,15,0,"0"
"322","mera",20200829,1,29.1,32.5,0,15,0,"0"
"323","mera",20200829,1,29.1,32.5,0,15,0,"0"
"324","mera",20200829,1,29.1,32.5,0,15,0,"0"
"325","mera",20200829,1,29.1,32.5,0,15,0,"0"
"326","mera",20200829,1,29.1,32.5,0,15,0,"0"
"327","mera",20200829,1,29.1,32.5,0,15,0,"0"
"328","mera",20200829,1,29.1,32.5,2.5,15,3,"1"
"329","mera",20200829,1,29.1,32.5,2.5,15,3,"1"
"330","mera",20200829,1,29.1,32.5,2.5,15,3,"0"
"331","mera",20200829,1,29.1,32.5,2.5,15,3,"0"
"332","mera",20200829,1,29.1,32.5,2.5,15,3,"0"
"333","mera",20200829,1,29.1,32.5,2.5,15,3,"0"
"334","mera",20200829,1,29.1,32.5,2.5,15,3,"0"
"335","mera",20200829,1,29.1,32.5,2.5,15,3,"0"
"336","mera",20200829,1,29.1,32.5,2.5,15,3,"0"
"337","mera",20200829,1,29.1,32.5,2.5,15,3,"0"
"338","mera",20200829,1,29.1,32.5,2.5,15,3,"0"
"339","mera",20200829,1,29.1,32.5,2.5,15,3,"0"
"340","mera",20200829,1,29.1,32.5,2.5,15,3,"0"
"341","mera",20200829,1,29.1,32.5,2.5,15,3,"0"
"342","mera",20200829,1,29.1,32.5,5,15,7,"1"
"343","mera",20200829,1,29.1,32.5,5,15,7,"1"
"344","mera",20200829,1,29.1,32.5,5,15,7,"1"
"345","mera",20200829,1,29.1,32.5,5,15,7,"1"
"346","mera",20200829,1,29.1,32.5,5,15,7,"1"
"347","mera",20200829,1,29.1,32.5,5,15,7,"1"
"348","mera",20200829,1,29.1,32.5,5,15,7,"0"
"349","mera",20200829,1,29.1,32.5,5,15,7,"0"
"350","mera",20200829,1,29.1,32.5,5,15,7,"0"
"351","mera",20200829,1,29.1,32.5,5,15,7,"0"
"352","mera",20200829,1,29.1,32.5,5,15,7,"0"
"353","mera",20200829,1,29.1,32.5,5,15,7,"0"
"354","mera",20200829,1,29.1,32.5,5,15,7,"0"
"355","mera",20200829,1,29.1,32.5,5,15,7,"0"
"356","mera",20200829,1,29.1,32.5,10,15,7,"1"
"357","mera",20200829,1,29.1,32.5,10,15,7,"1"
"358","mera",20200829,1,29.1,32.5,10,15,7,"1"
"359","mera",20200829,1,29.1,32.5,10,15,7,"1"
"360","mera",20200829,1,29.1,32.5,10,15,7,"1"
